"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L55474","BasePipeline","org.deeplearning4j.BasePipeline","L105","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.9.1\deeplearning4j-scaleout\dl4j-streaming\src\main\java\org\deeplearning4j\BasePipeline.java","8","1","30","2","0","0","0","0","0","0","0","0","3","0","0","3","1","0","0","0","3","0.25","0.25","5","5","1","3","0.227273","5","1","1","0","0","1","15","20","3","0","3","0","3","0","3","0","3","3","0","3","0","17","23","3","0","3","0","3","0","3","0","3","3","0","3","0","0","0","12","0","2","0","0","1","0","0","1","0","0","0","0","0","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L55498","Record","org.deeplearning4j.Record","L105","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.9.1\deeplearning4j-scaleout\dl4j-streaming\src\main\java\org\deeplearning4j\Record.java","11","1","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","3","3","1","0","0.6","3","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L56048","StreamingPipeline","org.deeplearning4j.StreamingPipeline","L105","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.9.1\deeplearning4j-scaleout\dl4j-streaming\src\main\java\org\deeplearning4j\StreamingPipeline.java","6","1","22","2","0","0","0","0","0","0","0","0","3","0","0","3","1","0","0","0","3","0.25","0.176471","3","3","1","3","0.176471","3","1","1","0","0","1","14","17","0","0","0","0","3","0","3","0","3","3","0","3","0","14","17","0","0","0","0","3","0","3","0","3","3","0","3","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L748","EmnistFetcher","org.deeplearning4j.base.EmnistFetcher","L737","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.9.1\deeplearning4j-core\src\main\java\org\deeplearning4j\base\EmnistFetcher.java","31","1","274","2","0.469854","7","186","26","0.557377","0.592593","136","112","2","1","1","65","3","1","2","0","25","0.15","0.140909","31","7","3","17","0.140909","31","1","1","0","0","1","189","244","24","40","3","22","25","0","19","0","48","68","4","39","0","189","244","24","40","3","22","25","0","19","0","48","68","4","39","0","0","0","112","5","0","6","0","1","49","0","1","0","0","0","0","0","53","0","0","4","0","0","0","0","0","0","0","0","0","0","9","0"
"L838","IrisUtils","org.deeplearning4j.base.IrisUtils","L737","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.9.1\deeplearning4j-core\src\main\java\org\deeplearning4j\base\IrisUtils.java","31","1","70","2","0","0","0","0","0","0","0","0","1","1","1","6","0","1","1","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","32","40","0","0","0","0","3","0","1","0","3","28","0","1","0","32","40","0","0","0","0","3","0","1","0","3","28","0","1","0","0","0","9","0","3","0","0","1","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L750","MnistFetcher","org.deeplearning4j.base.MnistFetcher","L737","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.9.1\deeplearning4j-core\src\main\java\org\deeplearning4j\base\MnistFetcher.java","33","1","218","2","0","0","0","0","0","0","0","0","1","2","2","31","1","4","3","1","24","0.0952381","0.0410959","6","3","2","19","0.0410959","6","0","0","1","1","0","140","186","21","18","21","18","23","4","20","0","23","60","4","20","0","140","186","21","18","21","18","23","4","20","0","23","60","4","20","0","0","2","58","1","3","1","0","1","0","0","0","0","0","1","1","0","45","0","0","4","0","0","0","0","0","0","0","0","0","0","12","0"
"L990","MnistFetcherTest","org.deeplearning4j.base.MnistFetcherTest","L737","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.9.1\deeplearning4j-core\src\test\java\org\deeplearning4j\base\MnistFetcherTest.java","10","1","19","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","2","0.5","0.272727","3","3","1","1","0.272727","3","0","0","0","0","0","8","10","0","0","0","0","1","0","1","0","1","3","0","1","0","8","10","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","3","1","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L998","DataSets","org.deeplearning4j.datasets.DataSets","L995","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.9.1\deeplearning4j-core\src\main\java\org\deeplearning4j\datasets\DataSets.java","27","1","56","2","0","0","0","0","0","0","0","0","2","1","1","6","3","0","0","6","11","0","0","0","0","0","5","0","0","0","0","0","0","0","23","30","0","0","0","0","5","0","4","0","5","10","0","4","0","23","30","0","0","0","0","5","0","4","0","5","10","0","4","0","0","0","14","1","2","0","0","0","0","1","1","0","0","0","2","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4876","EvaluationTools","org.deeplearning4j.evaluation.EvaluationTools","L4873","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.9.1\deeplearning4j-core\src\main\java\org\deeplearning4j\evaluation\EvaluationTools.java","35","1","329","2","0","0","0","0","0","0","0","0","1","2","2","21","28","1","3","64","77","0.875","0.157676","38","34","7","1","0.157676","38","0","0","0","0","0","203","295","19","5","19","5","13","0","7","0","13","113","0","7","0","203","295","19","5","19","5","13","0","7","0","13","113","0","7","0","0","0","29","1","4","0","0","0","0","2","0","0","0","6","2","0","19","0","0","1","0","0","0","0","0","0","0","0","0","0","4","0"
"L5225","AsyncIterator<T extends Object>","org.deeplearning4j.parallelism.AsyncIterator","L5193","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.9.1\deeplearning4j-core\src\main\java\org\deeplearning4j\parallelism\AsyncIterator.java","17","1","117","2","0","0","0","0","0","0","0","0","2","2","2","12","1","3","6","1","7","0.142857","0.126984","8","5","1","6","0.108696","10","0","0","0","0","0","55","68","6","0","6","0","6","0","6","0","6","23","0","6","0","82","101","9","0","9","0","8","0","8","0","8","36","0","8","0","0","0","23","3","6","1","0","0","0","2","1","0","0","0","7","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
