"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L45729","BasePipeline","org.deeplearning4j.BasePipeline","L105","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.7.2\deeplearning4j-scaleout\dl4j-streaming\src\main\java\org\deeplearning4j\BasePipeline.java","8","1","30","2","0","0","0","0","0","0","0","0","3","0","0","3","1","0","0","0","3","0.25","0.25","5","5","1","3","0.227273","5","1","1","0","0","1","15","20","3","0","3","0","3","0","3","0","3","3","0","3","0","17","23","3","0","3","0","3","0","3","0","3","3","0","3","0","0","0","12","0","2","0","0","1","0","0","1","0","0","0","0","0","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L45753","Record","org.deeplearning4j.Record","L105","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.7.2\deeplearning4j-scaleout\dl4j-streaming\src\main\java\org\deeplearning4j\Record.java","11","1","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","3","3","1","0","0.6","3","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L46570","StreamingPipeline","org.deeplearning4j.StreamingPipeline","L105","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.7.2\deeplearning4j-scaleout\dl4j-streaming\src\main\java\org\deeplearning4j\StreamingPipeline.java","6","1","22","2","0","0","0","0","0","0","0","0","3","0","0","3","1","0","0","0","3","0.25","0.176471","3","3","1","3","0.176471","3","1","1","0","0","1","14","17","0","0","0","0","3","0","3","0","3","3","0","3","0","14","17","0","0","0","0","3","0","3","0","3","3","0","3","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L732","IrisUtils","org.deeplearning4j.base.IrisUtils","L728","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.7.2\deeplearning4j-core\src\main\java\org\deeplearning4j\base\IrisUtils.java","31","1","71","2","0","0","0","0","0","0","0","0","1","1","1","6","0","1","1","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","33","41","0","0","0","0","3","0","1","0","3","28","0","1","0","33","41","0","0","0","0","3","0","1","0","3","28","0","1","0","0","0","9","0","3","0","0","1","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L759","MnistFetcher","org.deeplearning4j.base.MnistFetcher","L728","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.7.2\deeplearning4j-core\src\main\java\org\deeplearning4j\base\MnistFetcher.java","33","1","119","2","0.431138","1","6","2","0.287356","0.30303","25","20","1","1","1","10","1","1","1","1","3","0","0.0434783","3","1","0","3","0.0434783","3","0","0","0","0","0","66","87","17","0","17","0","2","4","2","0","2","32","4","2","0","66","87","17","0","17","0","2","4","2","0","2","32","4","2","0","0","1","26","0","2","1","0","1","12","0","0","0","0","0","0","0","7","0","0","2","0","0","0","0","0","0","0","0","0","0","7","0"
"L2728","DataSets","org.deeplearning4j.datasets.DataSets","L2725","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.7.2\deeplearning4j-core\src\main\java\org\deeplearning4j\datasets\DataSets.java","27","1","57","2","0","0","0","0","0","0","0","0","2","1","1","6","3","0","0","6","11","0","0","0","0","0","5","0","0","0","0","0","0","0","24","31","0","0","0","0","5","0","4","0","5","10","0","4","0","24","31","0","0","0","0","5","0","4","0","5","10","0","4","0","0","0","14","1","2","0","0","0","0","1","1","0","0","0","2","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5432","AsyncIterator<T extends Object>","org.deeplearning4j.parallelism.AsyncIterator","L5408","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.7.2\deeplearning4j-core\src\main\java\org\deeplearning4j\parallelism\AsyncIterator.java","17","1","112","2","0","0","0","0","0","0","0","0","2","2","2","12","1","3","6","1","7","0.142857","0.131148","8","5","1","6","0.113636","10","0","0","0","0","0","53","66","6","0","6","0","6","0","6","0","6","23","0","6","0","78","96","9","0","9","0","8","0","8","0","8","34","0","8","0","0","0","23","3","5","1","0","0","0","1","1","0","0","0","7","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L5490","MagicQueue","org.deeplearning4j.parallelism.MagicQueue","L5408","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.7.2\deeplearning4j-core\src\main\java\org\deeplearning4j\parallelism\MagicQueue.java","21","1","304","2","0","0","0","0","0","0","0","0","14","2","2","31","1","2","3","2","23","0.6","0.350254","69","69","12","8","0.290984","71","0","0","0","0","0","128","221","4","0","4","0","21","0","19","0","21","58","0","19","0","173","284","7","0","7","0","27","0","25","1","27","79","0","25","1","0","1","45","2","12","0","0","0","0","11","1","2","0","0","2","0","39","1","0","1","0","0","0","0","0","0","0","0","0","0","3","0"
"L5613","AsyncIteratorTest","org.deeplearning4j.parallelism.AsyncIteratorTest","L5408","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.7.2\deeplearning4j-core\src\test\java\org\deeplearning4j\parallelism\AsyncIteratorTest.java","12","1","35","2","0","0","0","0","0","0","0","0","1","1","1","3","1","0","0","3","4","0.5","0.136364","3","3","1","1","0.136364","3","0","0","0","0","0","19","24","0","0","0","0","1","0","1","0","1","14","0","1","0","19","24","0","0","0","0","1","0","1","0","1","14","0","1","0","0","0","5","2","4","0","0","4","0","1","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5635","MagicQueueTest","org.deeplearning4j.parallelism.MagicQueueTest","L5408","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.7.2\deeplearning4j-core\src\test\java\org\deeplearning4j\parallelism\MagicQueueTest.java","22","1","165","2","0","0","0","0","0","0","0","0","3","2","2","8","2","0","0","7","11","0.6","0.512","64","16","3","2","0.512","64","0","0","0","0","0","61","144","0","0","0","0","4","0","4","1","4","43","0","4","1","61","144","0","0","0","0","4","0","4","1","4","43","0","4","1","0","0","8","3","7","0","0","7","0","0","1","0","0","0","2","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
